run_id,returncode,sweep_name,sweep_parameter,sweep_value,analysis_metrics,first_tcp,second_tcp,topology,queue,base_rtt,ecn,rng_run,stop_time,first_start_time,second_start_time,second_start_jitter,link_rate,throughput_mean_mbps,throughput_p05_mbps,throughput_p95_mbps,second_throughput_mean_mbps,total_throughput_mean_mbps,jain_fairness,ping_rtt_mean_ms,ping_rtt_p95_ms,queue_delay_mean_ms,queue_delay_p95_ms,queue_delay_max_ms,cwnd_mean_segments,drop_count,mark_count,elapsed_wall_seconds,git_commit
topology-single-bottleneck_tcp-cubic_queue-codel_rtt-10ms_ecn-1_run-1_sweep-experiment-baseRtt-10ms,0,rtt-sensitivity,experiment.baseRtt,10ms,"throughput_mean_mbps,ping_rtt_p95_ms,queue_delay_p95_ms,mark_count",cubic,,single-bottleneck,codel,10ms,1,1,40s,5s,15s,0s,50Mbps,48.19249333333333,48.1894,48.2213,nan,48.19249333333333,nan,13.859063793103447,15.7317,3.1053274199131082,5.039999999999999,6.24,60.48745570291777,0,8,36.21584415435791,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic_queue-codel_rtt-50ms_ecn-1_run-1_sweep-experiment-baseRtt-50ms,0,rtt-sensitivity,experiment.baseRtt,50ms,"throughput_mean_mbps,ping_rtt_p95_ms,queue_delay_p95_ms,mark_count",cubic,,single-bottleneck,codel,50ms,1,1,40s,5s,15s,0s,50Mbps,45.85564266666666,40.280454999999996,48.1894,nan,45.85564266666666,nan,51.266706896551725,55.281454999999994,0.9643177119475305,4.58048,6.26048,193.73510675909878,0,5,33.09081697463989,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic_queue-codel_rtt-80ms_ecn-1_run-1_sweep-experiment-baseRtt-80ms,0,rtt-sensitivity,experiment.baseRtt,80ms,"throughput_mean_mbps,ping_rtt_p95_ms,queue_delay_p95_ms,mark_count",cubic,,single-bottleneck,codel,80ms,1,1,40s,5s,15s,0s,50Mbps,44.25203,38.800610000000006,48.1894,nan,44.25203,nan,81.04929586206896,85.176625,0.7305232210793783,4.56,6.98048,308.44312555391434,0,4,31.512077808380127,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
