first_tcp,second_tcp,queue,base_rtt,ecn,stop_time,link_rate,git_commit,n_runs,throughput_mean_mbps_mean,throughput_mean_mbps_ci95,ping_rtt_mean_ms_mean,ping_rtt_mean_ms_ci95,ping_rtt_p95_ms_mean,ping_rtt_p95_ms_ci95,queue_delay_mean_ms_mean,queue_delay_mean_ms_ci95,queue_delay_p95_ms_mean,queue_delay_p95_ms_ci95,queue_delay_max_ms_mean,queue_delay_max_ms_ci95,cwnd_mean_segments_mean,cwnd_mean_segments_ci95,drop_count_mean,drop_count_ci95,mark_count_mean,mark_count_ci95,elapsed_wall_seconds_mean,elapsed_wall_seconds_ci95
cubic,,pie,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.62509533333333,0.0,50.47007896551724,0.0,51.66554499999999,0.0,0.3706642523766273,0.0,2.4,0.0,6.0,0.0,171.35348291571754,0.0,16.0,0.0,0.0,0.0,329.17117341359454,612.3699243020639
cubic,,pie,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.62509533333333,0.0,50.47007896551724,0.0,51.66554499999999,0.0,0.3706642523766273,0.0,2.4,0.0,6.0,0.0,171.35348291571754,0.0,16.0,0.0,0.0,0.0,233.65779376029968,424.38949407151955
cubic,,pie,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.737066533333333,0.0,80.7343727586207,0.0,84.11143999999999,0.0,0.8340895399684728,0.0,5.04,0.0,6.0,0.0,273.51605957108814,0.0,19.0,0.0,0.0,0.0,17.01064332326253,0.204386618972437
cubic,,pie,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.737066533333333,0.0,80.7343727586207,0.0,84.11143999999999,0.0,0.8340895399684728,0.0,5.04,0.0,6.0,0.0,273.51605957108814,0.0,19.0,0.0,0.0,0.0,633.2267524401346,604.4615834495534
cubic,,red,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,47.480473555555555,0.07973677345795445,10.97413367816092,0.05697139281954622,12.312140000000001,0.044877405199647724,0.4519668959953724,0.021842318957827164,1.5199999999999998,0.1568,4.64,0.15680000000000013,52.40239050475509,0.07784852264350559,8.333333333333334,0.6533333333333333,0.0,0.0,336.0666446685791,604.402143979742
cubic,,red,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,47.470176888888886,0.03838161721596789,10.958968735632183,0.03653510983901656,12.189175,0.06338107048301758,0.46875512521656176,0.039298268207559106,1.5199999999999998,0.1568,2.48,0.15680000000000013,45.462440337152906,2.3012126205867673,0.0,0.0,9.0,1.1316065276116665,1244.4418125947316,1730.653782802021
cubic,,red,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,36.65358022222222,2.194663831186574,50.43142103448276,0.05127117254432743,51.564973333333334,0.5492731161248938,0.23944004625969453,0.0030073278114886577,1.2,0.0,4.886826666666667,0.17018026666666683,177.60977894474982,3.2152824706040595,6.0,1.1316065276116665,0.0,0.0,24.891412893931072,1.7076488997227144
cubic,,red,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,36.68575688888888,2.145215084509538,50.44154022988505,0.05426962769104142,51.66801666666667,0.5365348493838603,0.24170905619443514,0.0036114592304342242,1.2,0.0,5.22048,0.15680000000000013,174.39044117685862,2.79652319893901,0.0,0.0,6.333333333333333,1.3066666666666666,24.704842964808147,1.3993028592286538
cubic,,red,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,34.523149644444445,0.015071034127519716,80.49692264367816,0.011301155817954055,81.72548833333333,0.03323195381202322,0.28169155143338187,0.00034326080581998427,1.4400000000000002,0.0,5.760000000000001,0.0,272.2145651363774,0.1402577976517699,8.0,0.0,0.0,0.0,23.2594153881073,0.22795494480362521
cubic,,red,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,34.52636542222223,0.011969938942659008,80.50752781609195,0.013441218516813921,81.74118666666668,0.052998261774555966,0.2873565570238304,0.0008944138904428404,1.4400000000000002,0.0,6.0,0.0,265.5776784469844,0.12375332448617722,2.6666666666666665,0.6533333333333333,10.333333333333334,0.6533333333333333,23.471124251683552,0.23978444390196185
dctcp,,codel,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.192493333333324,0.0,11.35246655172414,0.0,11.753260000000003,0.0,0.5878080741806554,0.0,1.2,0.0,1.92,0.0,49.74549807089463,0.0,0.0,0.0,10182.0,0.0,2196.5352807044983,4089.6021163082482
dctcp,,codel,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.449409333333335,0.0,50.93954724137931,0.0,51.738215,0.0,0.3213389834999093,0.0,0.96,0.0,1.68,0.0,208.73029604352124,0.0,0.0,0.0,2656.0,0.0,31.780550320943195,0.11929607564558363
dctcp,,codel,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,33.136025866666664,0.0,80.41491068965517,0.0,81.51464999999999,0.0,0.23163680301845116,0.0,0.96,0.0,1.68,0.0,253.02485403587445,0.0,0.0,0.0,798.0,0.0,1940.1834136645,3755.259220565182
dctcp,,fq,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.192493333333324,0.0,10.755811034482756,0.0,10.969595,0.0,0.5889979275696545,0.0,1.2,0.0,1.92,0.0,49.74875675018243,0.0,0.0,0.0,10113.0,0.0,1665.8590575853984,3189.95601600596
dctcp,,fq,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.44748066666667,0.0,50.59912310344827,0.0,50.96063999999999,0.0,0.32311737981022776,0.0,0.96,0.0,1.68,0.0,208.70812603960397,0.0,0.0,0.0,2741.0,0.0,1275.2475872834523,2435.6587710718345
