run_id,returncode,first_tcp,second_tcp,queue,base_rtt,ecn,rng_run,stop_time,link_rate,throughput_mean_mbps,throughput_p05_mbps,throughput_p95_mbps,second_throughput_mean_mbps,ping_rtt_mean_ms,ping_rtt_p95_ms,queue_delay_mean_ms,queue_delay_p95_ms,queue_delay_max_ms,cwnd_mean_segments,drop_count,mark_count,elapsed_wall_seconds,git_commit
tcp-cubic_queue-codel_rtt-80ms_ecn-1_run-1,0,cubic,,codel,80ms,1,1,40s,50Mbps,44.25203,38.800610000000006,48.1894,nan,81.04929586206896,85.176625,0.7305232210793783,4.56,6.98048,308.44312555391434,0,4,25.49525809288025,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-codel_rtt-80ms_ecn-1_run-2,0,cubic,,codel,80ms,1,2,40s,50Mbps,44.25203,38.800610000000006,48.1894,nan,81.04929586206896,85.176625,0.7305232210793783,4.56,6.98048,308.44312555391434,0,4,944.6857218742371,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-codel_rtt-80ms_ecn-1_run-3,0,cubic,,codel,80ms,1,3,40s,50Mbps,44.25203,38.800610000000006,48.1894,nan,81.04929586206896,85.176625,0.7305232210793783,4.56,6.98048,308.44312555391434,0,4,25.192464113235474,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-0_run-1,0,cubic,,fq,10ms,0,1,40s,50Mbps,48.19249333333333,48.1894,48.2213,nan,10.749819655172415,10.964884999999999,3.104564628992354,5.039999999999999,6.24,60.48745570291777,0,8,27.992910146713257,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-0_run-2,0,cubic,,fq,10ms,0,2,40s,50Mbps,48.19249333333333,48.1894,48.2213,nan,10.749819655172415,10.964884999999999,3.104564628992354,5.039999999999999,6.24,60.48745570291777,0,8,28.369395971298218,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-0_run-3,0,cubic,,fq,10ms,0,3,40s,50Mbps,48.19249333333333,48.1894,48.2213,nan,10.749819655172415,10.964884999999999,3.104564628992354,5.039999999999999,6.24,60.48745570291777,0,8,972.7996661663055,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-1_run-1,0,cubic,,fq,10ms,1,1,40s,50Mbps,48.19249333333333,48.1894,48.2213,nan,10.749819655172415,10.964884999999999,3.104564628992354,5.039999999999999,6.24,60.48745570291777,0,8,29.13819122314453,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-1_run-2,0,cubic,,fq,10ms,1,2,40s,50Mbps,48.19249333333333,48.1894,48.2213,nan,10.749819655172415,10.964884999999999,3.104564628992354,5.039999999999999,6.24,60.48745570291777,0,8,1065.5852830410004,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-1_run-3,0,cubic,,fq,10ms,1,3,40s,50Mbps,48.19249333333333,48.1894,48.2213,nan,10.749819655172415,10.964884999999999,3.104564628992354,5.039999999999999,6.24,60.48745570291777,0,8,28.438008069992065,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-50ms_ecn-0_run-1,0,cubic,,fq,50ms,0,1,40s,50Mbps,45.855642,40.280454999999996,48.1894,nan,50.47746275862069,50.934055,0.9643302822984635,4.8,6.48,193.93176145833334,0,5,1014.2626602649689,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
