pair,base_rtt,jain_codel,jain_fq,jain_delta_fq_minus_codel,queue_delay_codel_ms,queue_delay_fq_ms,queue_delay_delta_fq_minus_codel_ms,total_throughput_codel_mbps,total_throughput_fq_mbps,total_throughput_delta_fq_minus_codel_mbps
cubic/dctcp,10ms,0.5435359681788977,0.6143491074377954,0.07081313925889765,0.5791680297721614,0.49108936871479103,-0.08807866105737039,48.18848246666666,48.18519606666666,-0.0032864000000003557
cubic/dctcp,80ms,0.9353398161587808,0.9195791298207124,-0.015760686338068375,0.1608193788210722,0.15053853471010148,-0.010280844110970716,43.516066466666665,42.99652633333333,-0.5195401333333365
cubic/reno,10ms,0.7326621116144355,0.9998114122713293,0.2671493006568938,3.862338639994171,3.873972755271946,0.011634115277775248,47.88825166666666,48.1525618,0.2643101333333391
cubic/reno,80ms,0.9627365431075239,0.9866808003770307,0.023944257269506775,1.3569257994373138,0.7299336802770836,-0.6269921191602302,45.49770040000001,44.790691,-0.707009400000004
reno/dctcp,10ms,0.629812909534371,0.6382592864831226,0.00844637694875161,0.4489060095741922,0.4198690623637158,-0.029036947210476394,47.400186866666665,47.42585819999999,0.02567133333332805
reno/dctcp,80ms,0.8883859964668436,0.8950347330222117,0.006648736555368129,0.159553404770106,0.15511168440604248,-0.004441720364063512,40.66428273333333,41.27591586666667,0.611633133333342
