campaign,run_id,flow,first_tcp,second_tcp,queue,base_rtt,ecn,previous_window_mean_mbps,final_window_mean_mbps,final_vs_previous_delta_pct,stability_flag_gt_5pct
single-flow,tcp-cubic_queue-pie_rtt-10ms_ecn-1_run-1,first,cubic,,pie,10ms,1,46.520418421052625,47.03415945945946,1.1043345177100625,False
single-flow,tcp-cubic_queue-pie_rtt-10ms_ecn-1_run-2,first,cubic,,pie,10ms,1,46.520418421052625,47.03415945945946,1.1043345177100625,False
single-flow,tcp-cubic_queue-pie_rtt-10ms_ecn-1_run-3,first,cubic,,pie,10ms,1,46.520418421052625,47.03415945945946,1.1043345177100625,False
single-flow,tcp-cubic_queue-pie_rtt-50ms_ecn-0_run-1,first,cubic,,pie,50ms,0,35.87686842105263,36.34089189189189,1.2933778539237706,False
single-flow,tcp-cubic_queue-pie_rtt-50ms_ecn-0_run-2,first,cubic,,pie,50ms,0,35.87686842105263,36.34089189189189,1.2933778539237706,False
single-flow,tcp-cubic_queue-pie_rtt-50ms_ecn-0_run-3,first,cubic,,pie,50ms,0,35.87686842105263,36.34089189189189,1.2933778539237706,False
single-flow,tcp-cubic_queue-pie_rtt-50ms_ecn-1_run-1,first,cubic,,pie,50ms,1,35.87686842105263,36.34089189189189,1.2933778539237706,False
single-flow,tcp-cubic_queue-pie_rtt-50ms_ecn-1_run-2,first,cubic,,pie,50ms,1,35.87686842105263,36.34089189189189,1.2933778539237706,False
single-flow,tcp-cubic_queue-pie_rtt-50ms_ecn-1_run-3,first,cubic,,pie,50ms,1,35.87686842105263,36.34089189189189,1.2933778539237706,False
single-flow,tcp-cubic_queue-pie_rtt-80ms_ecn-0_run-1,first,cubic,,pie,80ms,0,31.389594736842103,43.75150540540541,39.38219264122604,True
single-flow,tcp-cubic_queue-pie_rtt-80ms_ecn-0_run-2,first,cubic,,pie,80ms,0,31.389594736842103,43.75150540540541,39.38219264122604,True
