campaign,config_key,warmups,throughput_range_mbps,throughput_range_pct_of_max,fairness_range,queue_delay_range_ms
mixed-flow,cubic-dctcp/codel/10ms,"15.0,20.0,25.0,30.0",0.002446799999994198,0.005077337961461531,0.00020836791256950704,0.0046680075173562985
mixed-flow,cubic-dctcp/codel/80ms,"15.0,20.0,25.0,30.0",4.847905466666667,10.591454026627897,0.23209242504788197,0.022821122434730223
mixed-flow,cubic-dctcp/fq/10ms,"15.0,20.0,25.0,30.0",0.00244640000001084,0.0050769015275074336,0.014703590008169232,0.007224345457657544
mixed-flow,cubic-dctcp/fq/80ms,"15.0,20.0,25.0,30.0",6.06553757333333,13.234368820281153,0.22681397486630228,0.013069491029155111
mixed-flow,cubic-reno/codel/10ms,"15.0,20.0,25.0,30.0",0.32010389333333933,0.6676210601155129,0.050903923916697735,0.0719661577528985
mixed-flow,cubic-reno/codel/80ms,"15.0,20.0,25.0,30.0",1.0696661333333353,2.3474831190788095,0.021428871758581103,0.2219663178215665
mixed-flow,cubic-reno/fq/10ms,"15.0,20.0,25.0,30.0",0.048187573333336786,0.10005642012803352,0.00014853436185591207,0.08308903333674245
mixed-flow,cubic-reno/fq/80ms,"15.0,20.0,25.0,30.0",0.544751733333328,1.2108095696334418,0.013166699694592277,0.13869465790192947
mixed-flow,reno-dctcp/codel/10ms,"15.0,20.0,25.0,30.0",0.04546046222222344,0.09583490422213868,0.0019164199813078708,0.0008063386085904733
mixed-flow,reno-dctcp/codel/80ms,"15.0,20.0,25.0,30.0",6.764745893333341,15.399325106795672,0.23314874217041603,0.020763065290096944
mixed-flow,reno-dctcp/fq/10ms,"15.0,20.0,25.0,30.0",0.037069511111106124,0.07814049354270822,0.003204906773050853,0.0018600497086183054
mixed-flow,reno-dctcp/fq/80ms,"15.0,20.0,25.0,30.0",5.762344026666661,13.176518033816954,0.25199213312048574,0.012665018219728513
single-flow,cubic/codel/10ms/ecn0,"5.0,10.0,20.0,30.0",0.4135491428571356,0.858112532094234,nan,0.21032237829567846
single-flow,cubic/codel/10ms/ecn1,"5.0,10.0,20.0,30.0",0.4135491428571356,0.858112532094234,nan,0.20529102296949153
single-flow,cubic/codel/50ms/ecn0,"5.0,10.0,20.0,30.0",0.5291676380952381,1.1539179795920473,nan,0.5685056740793059
single-flow,cubic/codel/50ms/ecn1,"5.0,10.0,20.0,30.0",0.5281222095238007,1.1517060470896046,nan,0.5246516204068014
single-flow,cubic/codel/80ms/ecn0,"5.0,10.0,20.0,30.0",0.9853016000000068,2.2166455343652767,nan,1.7089897778962722
single-flow,cubic/codel/80ms/ecn1,"5.0,10.0,20.0,30.0",0.9985418857142818,2.248072931213029,nan,1.3928025997879674
single-flow,cubic/fq/10ms/ecn0,"5.0,10.0,20.0,30.0",0.4135491428571356,0.858112532094234,nan,0.20529176407618444
single-flow,cubic/fq/10ms/ecn1,"5.0,10.0,20.0,30.0",0.4135491428571356,0.858112532094234,nan,0.20529176407618444
single-flow,cubic/fq/50ms/ecn0,"5.0,10.0,20.0,30.0",0.528122114285722,1.151705856142461,nan,0.5243975187323877
single-flow,cubic/fq/50ms/ecn1,"5.0,10.0,20.0,30.0",0.528122114285722,1.151705856142461,nan,0.5243975187323877
single-flow,cubic/fq/80ms/ecn0,"5.0,10.0,20.0,30.0",0.9962227428571282,2.242968768323341,nan,1.3932559498676516
single-flow,cubic/fq/80ms/ecn1,"5.0,10.0,20.0,30.0",0.9962227428571282,2.242968768323341,nan,1.3932559498676516
single-flow,cubic/pie/10ms/ecn0,"5.0,10.0,20.0,30.0",1.0265137142857128,2.1900203870481576,nan,0.31967811211170316
single-flow,cubic/pie/10ms/ecn1,"5.0,10.0,20.0,30.0",1.0265137142857128,2.1900203870481576,nan,0.31967811211170316
single-flow,cubic/pie/50ms/ecn0,"5.0,10.0,20.0,30.0",6.8118911999999945,19.27567358689114,nan,0.0018595930379853298
single-flow,cubic/pie/50ms/ecn1,"5.0,10.0,20.0,30.0",6.8118911999999945,19.27567358689114,nan,0.0018595930379853298
single-flow,cubic/pie/80ms/ecn0,"5.0,10.0,20.0,30.0",12.854761200000002,31.42824479368191,nan,0.17810069835601272
single-flow,cubic/pie/80ms/ecn1,"5.0,10.0,20.0,30.0",12.854761200000002,31.42824479368191,nan,0.17810069835601272
single-flow,cubic/red/10ms/ecn0,"5.0,10.0,20.0,30.0",0.9307477142857223,1.954187956927266,nan,0.08193427130559838
single-flow,cubic/red/10ms/ecn1,"5.0,10.0,20.0,30.0",0.7957670000000121,1.6758516255940237,nan,0.10361405255671813
