#Time(s) qlen(pkts) qlen(us)
4.13 200 240 0.15, 0.13, 0.15, 0.12, 0.11, 0.19, 0.13, 0.18, 0.15, 0.12, 0.13, 0.16, 0.11, 0.18, 0.17, 0.12, 0.13, 0.10, 0.19, 0.16, 0.11, 0.13, 0.12, 0.17, 0.15, 0.09, 0.19, 0.10, 0.20, 0.13, 0.16, 0.16, 0.12, 0.17, 0.16, 0.14, 0.12, 0.12, 0.12, 0.13, 
4.14 191 229 0.12, 0.14, 0.12, 0.14, 0.11, 0.12, 0.17, 0.17, 0.17, 0.12, 0.13, 0.14, 0.13, 0.13, 0.16, 0.15, 0.16, 0.16, 0.16, 0.17, 0.17, 0.12, 0.18, 0.14, 0.13, 0.12, 0.12, 0.13, 0.15, 0.17, 0.16, 0.12, 0.14, 0.17, 0.16, 0.16, 0.17, 0.09, 0.12, 0.12, 
4.15 206 247 0.18, 0.13, 0.09, 0.11, 0.09, 0.12, 0.16, 0.16, 0.13, 0.17, 0.13, 0.10, 0.15, 0.17, 0.21, 0.17, 0.15, 0.14, 0.13, 0.17, 0.09, 0.15, 0.17, 0.21, 0.19, 0.15, 0.11, 0.16, 0.15, 0.14, 0.19, 0.11, 0.17, 0.15, 0.14, 0.13, 0.14, 0.12, 0.13, 0.14, 
4.16 187 224 0.13, 0.13, 0.11, 0.14, 0.14, 0.19, 0.19, 0.13, 0.11, 0.12, 0.12, 0.16, 0.13, 0.15, 0.14, 0.15, 0.14, 0.16, 0.14, 0.17, 0.14, 0.15, 0.15, 0.11, 0.16, 0.13, 0.15, 0.23, 0.13, 0.14, 0.12, 0.14, 0.14, 0.14, 0.15, 0.14, 0.13, 0.15, 0.09, 0.16, 
4.17 197 236 0.13, 0.15, 0.21, 0.12, 0.15, 0.19, 0.09, 0.15, 0.15, 0.16, 0.12, 0.15, 0.13, 0.12, 0.16, 0.13, 0.14, 0.11, 0.15, 0.14, 0.14, 0.12, 0.16, 0.14, 0.16, 0.15, 0.15, 0.12, 0.12, 0.14, 0.17, 0.12, 0.10, 0.13, 0.14, 0.12, 0.15, 0.12, 0.13, 0.10, 
4.18 189 226 0.14, 0.16, 0.13, 0.17, 0.17, 0.17, 0.17, 0.15, 0.15, 0.16, 0.20, 0.14, 0.17, 0.14, 0.12, 0.12, 0.12, 0.12, 0.16, 0.15, 0.17, 0.18, 0.17, 0.14, 0.11, 0.17, 0.18, 0.11, 0.14, 0.14, 0.18, 0.16, 0.17, 0.13, 0.16, 0.14, 0.13, 0.12, 0.12, 0.13, 
4.19 195 234 0.19, 0.15, 0.18, 0.10, 0.17, 0.16, 0.14, 0.16, 0.15, 0.13, 0.13, 0.15, 0.12, 0.16, 0.16, 0.19, 0.14, 0.14, 0.14, 0.11, 0.14, 0.12, 0.16, 0.14, 0.14, 0.13, 0.11, 0.18, 0.16, 0.15, 0.18, 0.07, 0.14, 0.13, 0.12, 0.16, 0.12, 0.16, 0.16, 0.13, 
4.20 199 238 0.11, 0.21, 0.13, 0.14, 0.16, 0.15, 0.09, 0.17, 0.11, 0.11, 0.13, 0.16, 0.10, 0.15, 0.20, 0.17, 0.14, 0.18, 0.15, 0.16, 0.19, 0.15, 0.17, 0.10, 0.18, 0.14, 0.14, 0.13, 0.16, 0.15, 0.15, 0.11, 0.12, 0.11, 0.16, 0.12, 0.17, 0.15, 0.15, 0.15, 
4.21 204 244 0.13, 0.11, 0.12, 0.09, 0.16, 0.18, 0.11, 0.12, 0.15, 0.12, 0.11, 0.14, 0.16, 0.14, 0.18, 0.20, 0.14, 0.14, 0.15, 0.12, 0.09, 0.16, 0.15, 0.13, 0.15, 0.16, 0.11, 0.11, 0.15, 0.16, 0.17, 0.11, 0.18, 0.11, 0.13, 0.10, 0.17, 0.14, 0.25, 0.16, 
4.22 196 235 0.13, 0.18, 0.11, 0.15, 0.08, 0.16, 0.15, 0.16, 0.13, 0.11, 0.14, 0.15, 0.21, 0.14, 0.14, 0.21, 0.15, 0.14, 0.13, 0.11, 0.08, 0.17, 0.15, 0.15, 0.15, 0.19, 0.12, 0.12, 0.15, 0.11, 0.17, 0.19, 0.17, 0.13, 0.20, 0.13, 0.14, 0.12, 0.14, 0.17, 
4.23 198 237 0.15, 0.14, 0.14, 0.09, 0.10, 0.16, 0.16, 0.16, 0.13, 0.15, 0.17, 0.14, 0.20, 0.11, 0.20, 0.11, 0.15, 0.17, 0.17, 0.14, 0.15, 0.15, 0.18, 0.17, 0.16, 0.10, 0.12, 0.13, 0.20, 0.16, 0.15, 0.15, 0.17, 0.16, 0.19, 0.13, 0.11, 0.18, 0.17, 0.15, 
4.24 200 240 0.17, 0.16, 0.13, 0.13, 0.12, 0.13, 0.11, 0.18, 0.14, 0.14, 0.10, 0.13, 0.14, 0.11, 0.13, 0.15, 0.12, 0.08, 0.17, 0.16, 0.18, 0.13, 0.12, 0.13, 0.16, 0.18, 0.14, 0.14, 0.20, 0.16, 0.12, 0.12, 0.15, 0.16, 0.15, 0.14, 0.11, 0.16, 0.14, 0.13, 
4.25 186 223 0.14, 0.12, 0.11, 0.13, 0.14, 0.15, 0.12, 0.17, 0.15, 0.14, 0.15, 0.12, 0.13, 0.13, 0.13, 0.13, 0.11, 0.11, 0.18, 0.13, 0.15, 0.13, 0.13, 0.14, 0.16, 0.16, 0.17, 0.11, 0.16, 0.15, 0.15, 0.19, 0.14, 0.15, 0.17, 0.10, 0.12, 0.19, 0.14, 0.11, 
4.26 193 231 0.20, 0.12, 0.14, 0.17, 0.15, 0.12, 0.18, 0.14, 0.13, 0.21, 0.16, 0.13, 0.13, 0.17, 0.17, 0.11, 0.12, 0.15, 0.15, 0.13, 0.13, 0.15, 0.18, 0.18, 0.14, 0.15, 0.11, 0.11, 0.17, 0.13, 0.15, 0.16, 0.14, 0.17, 0.16, 0.13, 0.13, 0.22, 0.13, 0.14, 
4.27 197 236 0.13, 0.20, 0.13, 0.14, 0.11, 0.14, 0.14, 0.14, 0.16, 0.13, 0.15, 0.13, 0.15, 0.20, 0.17, 0.17, 0.18, 0.19, 0.13, 0.15, 0.13, 0.13, 0.13, 0.14, 0.10, 0.15, 0.11, 0.13, 0.11, 0.16, 0.15, 0.13, 0.11, 0.15, 0.12, 0.14, 0.10, 0.21, 0.15, 0.13, 
4.28 198 237 0.14, 0.17, 0.12, 0.11, 0.14, 0.16, 0.15, 0.14, 0.15, 0.11, 0.14, 0.14, 0.13, 0.22, 0.11, 0.16, 0.18, 0.12, 0.13, 0.12, 0.13, 0.12, 0.15, 0.14, 0.16, 0.15, 0.13, 0.13, 0.08, 0.14, 0.11, 0.14, 0.12, 0.14, 0.11, 0.15, 0.15, 0.16, 0.14, 0.21, 
4.29 189 226 0.12, 0.17, 0.14, 0.15, 0.16, 0.12, 0.12, 0.13, 0.26, 0.12, 0.13, 0.16, 0.15, 0.16, 0.13, 0.15, 0.09, 0.11, 0.14, 0.17, 0.13, 0.10, 0.14, 0.15, 0.11, 0.17, 0.15, 0.14, 0.09, 0.12, 0.17, 0.16, 0.15, 0.11, 0.14, 0.13, 0.13, 0.14, 0.13, 0.14, 
4.30 195 234 0.13, 0.12, 0.17, 0.15, 0.24, 0.15, 0.13, 0.16, 0.20, 0.17, 0.14, 0.12, 0.17, 0.10, 0.15, 0.15, 0.11, 0.10, 0.13, 0.13, 0.12, 0.19, 0.14, 0.13, 0.13, 0.15, 0.12, 0.14, 0.13, 0.12, 0.14, 0.13, 0.20, 0.11, 0.16, 0.11, 0.13, 0.11, 0.15, 0.13, 
4.31 181 217 0.10, 0.15, 0.14, 0.13, 0.14, 0.18, 0.17, 0.13, 0.15, 0.13, 0.17, 0.18, 0.15, 0.17, 0.22, 0.12, 0.25, 0.13, 0.15, 0.15, 0.15, 0.16, 0.15, 0.09, 0.17, 0.15, 0.13, 0.16, 0.11, 0.13, 0.14, 0.14, 0.18, 0.12, 0.14, 0.13, 0.19, 0.20, 0.11, 0.24, 
4.32 184 220 0.13, 0.14, 0.16, 0.17, 0.13, 0.13, 0.19, 0.12, 0.17, 0.20, 0.13, 0.12, 0.18, 0.14, 0.16, 0.15, 0.18, 0.14, 0.15, 0.16, 0.18, 0.15, 0.11, 0.10, 0.14, 0.12, 0.12, 0.22, 0.13, 0.13, 0.12, 0.15, 0.13, 0.17, 0.19, 0.13, 0.11, 0.22, 0.20, 0.14, 
