#Time(s) flow thruput(Mb/s)
5s 0 479.89
5s 1 472.222
5s 2 473.484
5s 3 464.912
5s 4 477.666
5s 5 479.902
5s 6 498.877
5s 7 465.723
5s 8 490.745
5s 9 490.524
5s 10 482.103
5s 11 491.706
5s 12 493.328
5s 13 482.601
5s 14 497.012
5s 15 468.99
5s 16 478.801
5s 17 475.048
5s 18 483.145
5s 19 490.617
