#Time(s) flow thruput(Mb/s)
5s 0 948.768
5s 1 948.768
5s 2 948.768
5s 3 948.768
5s 4 948.76
5s 5 948.768
5s 6 948.768
5s 7 948.768
5s 8 948.76
5s 9 948.768
5s 10 0.000768
5s 11 0.000264
5s 12 1.12453e+09
5s 13 8e-06
5s 14 0.002704
5s 15 0.000264
5s 16 7.53751e+08
5s 17 1.6e-05
5s 18 0.0016
5s 19 0.000648
