#Time(s) flow thruput(Mb/s)
5s 0 948.768
5s 1 948.768
5s 2 1.01503e+09
5s 3 0.000264
5s 4 1.12287e+09
5s 5 7.58113e+08
5s 6 0.000256
5s 7 0.000264
5s 8 7.58126e+08
5s 9 1.6e-05
5s 10 0.262144
5s 11 0.000776
5s 12 1.12287e+09
5s 13 8e-06
5s 14 7.58127e+08
5s 15 9.6e-05
5s 16 1.29421e+13
5s 17 13617.6
5s 18 7.58127e+08
5s 19 5.6e-05
